Location,Year,Gender,Position,Athlete,Nationality,Time,Place,Position[27][28],Position[29][28]
London,2019,Men,3,Mule Wasihun,Ethiopia,2:03:16,,,
London,2019,Men,4,Shura Kitata,Ethiopia,2:05:01,,4.0,
London,2019,Men,5,Mo Farah,United Kingdom,2:05:39,,5.0,
London,2019,Men,6,Tamirat Tola,Ethiopia,2:06:57,,6.0,
London,2019,Men,7,Bashir Abdi,Belgium,2:07:03,,7.0,
London,2019,Men,8,Leul Gebresilase,Ethiopia,2:07:15,,8.0,
London,2019,Men,9,Yassine Rachik,Italy,2:08:05,,9.0,
London,2019,Men,10,Callum Hawkins,United Kingdom,2:08:14,,10.0,
London,2019,Women,1,Brigid Kosgei,Kenya,2:18:20,,,
London,2019,Women,2,Vivian Cheruiyot,Kenya,2:20:14,,,
London,2019,Women,3,Roza Dereje,Ethiopia,2:20:51,,,
London,2019,Women,4,Gladys Cherono Kiprono,Kenya,2:20:52,,,4.0
London,2019,Women,5,Mary Jepkosgei Keitany,Kenya,2:20:58,,,5.0
London,2019,Women,6,Emily Sisson,United States,2:23:08,,,6.0
London,2019,Women,7,Sinead Diver,Australia,2:24:11,,,7.0
London,2019,Women,8,Carla Salomé Rocha,Portugal,2:24:47,,,8.0
London,2019,Women,9,Birhane Dibaba,Ethiopia,2:25:04,,,9.0
London,2019,Women,10,Charlotte Purdue,United Kingdom,2:25:38,,,10.0
New,2019,Men,1,Geoffrey Kamworor,Kenya,2:08:13,,,
New,2019,Men,2,Albert Korir,Kenya,2:08:36,,,
New,2019,Men,3,Girma Bekele Gebre,Ethiopia,2:08:38,,,
New,2019,Men,4,Tamirat Tola,Ethiopia,2:09:20,,,
New,2019,Men,5,Shura Kitata,Ethiopia,2:10:39,,,
New,2019,Men,6,Jared Ward,United States,2:10:45,,,
New,2019,Men,7,Stephen Sambu,Kenya,2:11:11,,,
New,2019,Men,8,Yoshiki Takenouchi,Japan,2:11:18,,,
New,2019,Men,9,Abdihakem Abdirahman,United States,2:11:34,,,
New,2019,Men,10,Connor McMillan,United States,2:12:07,,,
New,2019,Women,1,Joyciline Jepkosgei,Kenya,2:22:38,,,
New,2019,Women,2,Mary Keitany,Kenya,2:23:32,,,
New,2019,Women,3,Ruti Aga,Ethiopia,2:25:51,,,
New,2019,Women,4,Nancy Kiprop,Kenya,2:26:21,,,
New,2019,Women,5,Sinead Diver,Australia,2:26:23,,,
New,2019,Women,6,Des Linden,United States,2:26:46,,,
New,2019,Women,7,Kellyn Taylor,United States,2:26:52,,,
New,2019,Women,8,Ellie Pashley,Australia,2:27:07,,,
New,2019,Women,9,Belaynesh Fikadu,Ethiopia,2:27:27,,,
New,2019,Women,10,Mary Wacera Ngugi,Kenya,2:27:36,,,
Tokyo,2019,Men,1,Birhanu Legese,Ethiopia,2:04:48,,,
Tokyo,2019,Men,2,Bedan Karoki,Kenya,2:06:48,,,
Tokyo,2019,Men,3,Dickson Chumba,Kenya,2:08:44,,,
Tokyo,2019,Men,4,Simon Kariuki,Kenya,2:09:41,,,
Tokyo,2019,Men,5,Kensuke Horio,Japan,2:10:21,,,
Tokyo,2019,Men,6,Masato Imai,Japan,2:10:30,,,
Tokyo,2019,Men,7,Takuya Fujikawa,Japan,2:10:35,,,
Tokyo,2019,Men,8,Daichi Kamino,Japan,2:11:05,,,
Tokyo,2019,Men,9,Ryu Takaku,Japan,2:11:49,,,
Tokyo,2019,Men,10,Tadashi Isshiki,Japan,2:12:21,,,
Tokyo,2019,Men,11,Shohei Otsuka,Japan,2:12:36,,,
Tokyo,2019,Men,12,Ryo Kuchimachi,Japan,2:13:30,,,
Tokyo,2019,Men,13,Yuki Munakata,Japan,2:13:47,,,
Tokyo,2019,Men,14,Keita Shitara,Japan,2:14:41,,,
Tokyo,2019,Men,15,Shogo Nakamura,Japan,2:14:52,,,
Tokyo,2019,Men,16,Yuki Sato,Japan,2:15:07,,,
Tokyo,2019,Men,17,Hiroto Kanamuri,Japan,2:15:37,,,
Tokyo,2019,Men,18,Toshiki Sadakata,Japan,2:15:53,,,
Tokyo,2019,Men,19,Hiroto Kunishi,Japan,2:15:59,,,
Tokyo,2019,Men,20,Hidenori Nagai,Japan,2:16:08,,,
Tokyo,2019,Women,1,Ruti Aga,Ethiopia,2:20:40,,,
Tokyo,2019,Women,2,Helen Tola,Ethiopia,2:21:01,,,
Tokyo,2019,Women,3,Shure Demise,Ethiopia,2:21:05,,,
Tokyo,2019,Women,4,Florence Kiplagat,Kenya,2:21:50,,,
Tokyo,2019,Women,5,Bedatu Hirpa,Ethiopia,2:23:43,,,
Tokyo,2019,Women,6,Ababel Yeshaneh,Ethiopia,2:24:02,,,
Tokyo,2019,Women,7,Mao Ichiyama,Japan,2:24:33,,,
Tokyo,2019,Women,8,Joan Chelimo,Kenya,2:26:24,,,
Tokyo,2019,Women,9,Rose Chelimo,Bahrain,2:30:35,,,
Tokyo,2019,Women,10,Ruth Chebitok,Kenya,2:31:19,,,
Tokyo,2019,Women,11,Yebrgual Melese,Ethiopia,2:31:40,,,
Tokyo,2019,Women,12,Honami Maeda,Japan,2:31:42,,,
Tokyo,2019,Women,13,Hiroko Yoshitomi,Japan,2:32:30,,,
Tokyo,2019,Women,14,Mao Kiyota,Japan,2:33:04,,,
Tokyo,2019,Women,15,Haruka Yamaguchi,Japan,2:33:41,,,
Tokyo,2019,Women,16,Mimi Belete,Bahrain,2:35:04,,,
Tokyo,2019,Women,17,Tsao Chunyu,Chinese Taipei,2:36:14,,,
Tokyo,2019,Women,18,Yoshiko Sakamoto,Japan,2:36:16,,,
Tokyo,2019,Women,19,Shiho Satonaka,Japan,2:36:37,,,
Tokyo,2019,Women,20,Keiko Nogami,Japan,2:38:23,,,
London,2020,Men,1,Shura Kitata,Ethiopia,02:05:41,,,
London,2020,Men,2,Vincent Kipchumba,Kenya,02:05:42,,,
London,2020,Men,3,Sisay Lemma,Ethiopia,02:05:45,,,
London,2020,Men,4,Mosinet Geremew,Ethiopia,02:06:04,,,
London,2020,Men,5,Mule Wasihun,Ethiopia,02:06:08,,,
London,2020,Men,6,Tamirat Tola,Ethiopia,02:06:41,,,
London,2020,Men,7,Benson Kipruto,Kenya,02:06:42,,,
London,2020,Men,8,Eliud Kipchoge,Kenya,02:06:49,,,
London,2020,Men,9,Sondre Nordstad Moen,Norway,02:09:01,,,
London,2020,Men,10,Marius Kipserem,Kenya,02:09:25,,,
London,2020,Women,1,Brigid Kosgei,Kenya,02:18:58,,,
London,2020,Women,2,Sara Hall,United States,02:22:01,,,
London,2020,Women,3,Ruth Chepng'etich,Kenya,02:22:05,,,
London,2020,Women,4,Ashete Bekere,Ethiopia,02:22:51,,,
London,2020,Women,5,Alemu Megertu,Ethiopia,02:24:23,,,
London,2020,Women,6,Molly Seidel,United States,02:25:13,,,
London,2020,Women,7,Gerda Steyn,South Africa,02:26:51,,,
London,2020,Women,8,Sinead Diver,Australia,02:27:07,,,
London,2020,Women,9,Darya Mykhaylova,Ukraine,02:27:29,,,
London,2020,Women,10,Valary Jemeli,Kenya,02:28:18,,,
Berlin,2021,Men,1,Guye Adola,Ethiopia,2:05:45,,,
Berlin,2021,Men,2,Bethwel Yegon,Kenya,2:06:14,,,
Berlin,2021,Men,3,Kenenisa Bekele,Ethiopia,2:06:47,,,
Berlin,2021,Men,4,Tadu Abate,Ethiopia,2:08:24,,,
Berlin,2021,Men,5,Cosmas Muteti,Kenya,2:08:45,,,
Berlin,2021,Men,6,Philemon Kacheran,Kenya,2:09:29,,,
Berlin,2021,Men,7,Okubay Tsegay,Eritrea,2:10:37,,,
Berlin,2021,Men,8,Benard Kimeli,Kenya,2:10:50,,,
Berlin,2021,Men,9,Hidekazu Hijikata,Japan,2:11:47,,,
Berlin,2021,Men,10,Hosea Kipkemboi,Kenya,2:12:25,,,
Berlin,2021,Women,1,Gotytom Gebreslase,Ethiopia,2:20:09,,,
Berlin,2021,Women,2,Hiwot Gebrekidan,Ethiopia,2:21:23,,,
Berlin,2021,Women,3,Helen Tola,Ethiopia,2:23:05,,,
Berlin,2021,Women,4,Edith Chelimo,Kenya,2:24:33,,,
Berlin,2021,Women,5,Shure Demise,Ethiopia,2:24:43,,,
Berlin,2021,Women,6,Fancy Chemutai,Kenya,2:24:58,,,
Berlin,2021,Women,7,Izabela Paszkiewicz,Poland,2:27:41,,,
Berlin,2021,Women,8,Ruth Chebitok,Kenya,2:28:18,,,
Berlin,2021,Women,9,Rabea Schöneborn,Germany,2:28:49,,,
Berlin,2021,Women,10,Martina Strähl,Switzerland,2:30:37,,,
Boston,2021,Men,1,Benson Kipruto,Kenya,2:09:51,,,
Boston,2021,Men,2,Lemi Berhanu,Ethiopia,2:10:37,,,
Boston,2021,Men,3,Jemal Yimer,Ethiopia,2:10:38,,,
Boston,2021,Men,4,Tsedat Ayana,Ethiopia,2:10:47,4.0,,
Boston,2021,Men,5,Leonard Barsoton,Kenya,2:11:11,5.0,,
Boston,2021,Men,6,Bayelign Teshager,Ethiopia,2:11:16,6.0,,
Boston,2021,Men,7,Colin Bennie,United States,2:11:26,7.0,,
Boston,2021,Men,8,Dejene Debela,Ethiopia,2:11:38,8.0,,
Boston,2021,Men,9,Wilson Chebet,Kenya,2:11:40,9.0,,
Boston,2021,Men,10,CJ Albertson,United States,2:11:44,10.0,,
Boston,2021,Women,1,Edna Kiplagat,Kenya,2:25:09,,,
Boston,2021,Women,2,Mary Ngugi,Kenya,2:25:20,,,
Boston,2021,Women,3,Monicah Ngige,Kenya,2:25:32,,,
Boston,2021,Women,4,Netsanet Gudeta,Ethiopia,2:26:09,4.0,,
Boston,2021,Women,5,Nell Rojas,United States,2:27:12,5.0,,
Boston,2021,Women,6,Workenesh Edesa,Ethiopia,2:27:38,6.0,,
Boston,2021,Women,7,Atsede Baysa,Ethiopia,2:28:04,7.0,,
Boston,2021,Women,8,Biruktayit Eshetu,Ethiopia,2:29:05,8.0,,
Boston,2021,Women,9,Tigist Abayechew,Kenya,2:29:06,9.0,,
Boston,2021,Women,10,Caroline Rotich,Kenya,2:29:54,10.0,,
Chicago,2021,Men,1,Seifu Tura,Ethiopia,2:06:12,,,
Chicago,2021,Men,2,Galen Rupp,United States,2:06:35,,,
Chicago,2021,Men,3,Eric Kiptanui,Kenya,2:06:51,,,
Chicago,2021,Men,4,Kengo Suzuki,Japan,2:08:50,,,
Chicago,2021,Men,5,Shifera Tamru,Ethiopia,2:09:39,,,
Chicago,2021,Men,6,Colin Mickow,United States,2:13:31,,,
Chicago,2021,Men,7,Nico Montanez,United States,2:13:55,,,
Chicago,2021,Men,8,Reuben Kipyego,Kenya,2:14:24,,,
Chicago,2021,Men,9,Reed Fischer,United States,2:14:41,,,
Chicago,2021,Men,10,Wilkerson Given,United States,2:14:55,,,
Chicago,2021,Women,1,Ruth Chepngetich,Kenya,2:22:31,,,
Chicago,2021,Women,2,Emma Bates,United States,2:24:20,,,
Chicago,2021,Women,3,Sara Hall,United States,2:27:19,,,
Chicago,2021,Women,4,Keira D'Amato,United States,2:28:22,,,
Chicago,2021,Women,5,Vivian Kiplagat,Kenya,2:29:14,,,
Chicago,2021,Women,6,Maegan Krifchin,United States,2:30:17,,,
Chicago,2021,Women,7,Carrie Verdon,United States,2:31:51,,,
Chicago,2021,Women,8,Sarah Pagano,United States,2:33:11,,,
Chicago,2021,Women,9,Meseret Belete,Ethiopia,2:33:14,,,
Chicago,2021,Women,10,Lindsay Flanagan,United States,2:33:20,,,
London,2021,Men,1,Sisay Lemma,Ethiopia,02:04:01,,,
London,2021,Men,2,Vincent Kipchumba,Kenya,02:04:28,,,
London,2021,Men,3,Mosinet Geremew,Ethiopia,02:04:41,,,
London,2021,Men,4,Evans Chebet,Kenya,02:05:43,,,
London,2021,Men,5,Birhanu Legese,Ethiopia,02:06:10,,,
London,2021,Men,6,Shura Kitata,Ethiopia,02:07:51,,,
London,2021,Men,7,Philip Sesemann,United Kingdom,02:12:58,,,
London,2021,Men,8,Josh Griffiths,United Kingdom,02:13:39,,,
London,2021,Men,9,Matthew Leach,United Kingdom,02:15:31,,,
London,2021,Men,10,Andrew Davies,United Kingdom,02:15:36,,,
London,2021,Women,1,Joyciline Jepkosgei,Kenya,02:17:43,,,
London,2021,Women,2,Degitu Azimeraw,Ethiopia,02:17:58,,,
London,2021,Women,3,Ashete Bekere,Ethiopia,02:18:18,,,
London,2021,Women,4,Brigid Kosgei,Kenya,02:18:40,,,
London,2021,Women,5,Lonah Chemtai Salpeter,Israel,02:18:54,,,
London,2021,Women,6,Valary Jemeli,Kenya,02:20:35,,,
London,2021,Women,7,Joan Melly,Kenya,02:21:23,,,
London,2021,Women,8,Zeineba Yimer,Ethiopia,02:21:40,,,
London,2021,Women,9,Tigist Girma,Ethiopia,02:22:45,,,
London,2021,Women,10,Charlotte Purdue,United Kingdom,02:23:26,,,
New,2021,Men,1,Albert Korir,Kenya,02:08:22,,,
New,2021,Men,2,Mohamed El Araby,Morocco,02:09:06,,,
New,2021,Men,3,Eyob Faniel,Italy,02:09:52,,,
New,2021,Men,4,Elkanah Kibet,United States,02:11:15,,,
New,2021,Men,5,Abdi Nageeye,Netherlands,02:11:39,,,
New,2021,Men,6,Kenenisa Bekele,Ethiopia,02:12:52,,,
New,2021,Men,7,Ben True,United States,02:12:53,,,
New,2021,Men,8,Nathan Martin,United States,02:12:57,,,
New,2021,Men,9,Kibiwott Kandie,Kenya,02:13:43,,,
New,2021,Men,10,Jared Ward,United States,02:13:43,,,
New,2021,Women,1,Peres Jepchirchir,Kenya,02:22:39,,,
New,2021,Women,2,Viola Cheptoo,Kenya,02:22:44,,,
New,2021,Women,3,Ababel Yeshaneh,Ethiopia,02:22:52,,,
New,2021,Women,4,Molly Seidel,United States,02:24:42,,,
New,2021,Women,5,Helalia Johannes,Namibia,02:26:09,,,
New,2021,Women,6,Kellyn Taylor,United States,02:26:10,,,
New,2021,Women,7,Annie Frisbie,United States,02:26:18,,,
New,2021,Women,8,Laura Thweatt,United States,02:27:00,,,
New,2021,Women,9,Grace Kahura,Kenya,02:30:32,,,
New,2021,Women,10,Stephanie Bruce,United States,02:31:05,,,
Berlin,2022,Men,1,Eliud Kipchoge,Kenya,2:01:09,,,
Berlin,2022,Men,2,Mark Korir,Kenya,2:05:58,,,
Berlin,2022,Men,3,Tadu Abate,Ethiopia,2:06:28,,,
Berlin,2022,Men,4,Andamlak Belihu,Ethiopia,2:06:40,,,
Berlin,2022,Men,5,Abel Kipchumba,Kenya,2:06:49,,,
Berlin,2022,Men,6,Limenih Getachew,Ethiopia,2:07:07,,,
Berlin,2022,Men,7,Kenya Sonota,Japan,2:07:14,,,
Berlin,2022,Men,8,Tatsuya Maruyama,Japan,2:07:50,,,
Berlin,2022,Men,9,Kento Kikutani,Japan,2:07:56,,,
Berlin,2022,Men,10,Zablon Chumba,Kenya,2:08:01,,,
Berlin,2022,Women,1,Tigist Assefa,Ethiopia,2:15:37,,,
Berlin,2022,Women,2,Rosemary Wanjiru,Kenya,2:18:00,,,
Berlin,2022,Women,3,Tigist Abayechew,Ethiopia,2:18:03,,,
Berlin,2022,Women,4,Workenesh Edesa,Ethiopia,2:18:51,,,
Berlin,2022,Women,5,Sisay Meseret Gola,Ethiopia,2:20:58,,,
Berlin,2022,Women,6,Keira D'Amato,United States,2:21:48,,,
Berlin,2022,Women,7,Rika Kaseda,Japan,2:21:55,,,
Berlin,2022,Women,8,Ayuko Suzuki,Japan,2:22:02,,,
Berlin,2022,Women,9,Sayaka Sato,Japan,2:22:13,,,
Berlin,2022,Women,10,Vibian Chepkirui,Kenya,2:22:21,,,
Boston,2022,Men,1,Evans Chebet,Kenya,2:06:51,,,
Boston,2022,Men,2,Lawrence Cherono,Kenya,2:07:21,,,
Boston,2022,Men,3,Benson Kipruto,Kenya,2:07:27,,,
Boston,2022,Men,4,Gabriel Geay,Tanzania,2:07:53,4.0,,
Boston,2022,Men,5,Eric Kiptanui,Kenya,2:08:47,5.0,,
Boston,2022,Men,6,Albert Korir,Kenya,2:08:50,6.0,,
Boston,2022,Men,7,Scott Fauble,United States,2:08:52,7.0,,
Boston,2022,Men,8,Jemal Yimer,Ethiopia,2:08:58,8.0,,
Boston,2022,Men,9,Elkanah Kibet,United States,2:09:07,9.0,,
Boston,2022,Men,10,Kinde Atanaw,Ethiopia,2:09:16,10.0,,
Boston,2022,Men,11,Lemi Berhanu,Ethiopia,2:09:43,11.0,,
Boston,2022,Men,12,Bethwel Yegon,Kenya,2:09:44,12.0,,
Boston,2022,Men,13,CJ Albertson,United States,2:10:23,13.0,,
Boston,2022,Men,14,Matthew McDonald,United States,2:10:35,14.0,,
Boston,2022,Men,15,Trevor Hofbauer,Canada,2:10:52,15.0,,
Boston,2022,Men,16,Reed Fischer,United States,2:10:54,16.0,,
Boston,2022,Men,17,Mick Iacofano,United States,2:11:48,17.0,,
Boston,2022,Men,18,Geoffrey Kamworor,Kenya,2:11:49,18.0,,
Boston,2022,Men,19,Colin Bennie,United States,2:12:08,19.0,,
Boston,2022,Men,20,Yuki Kawauchi,Japan,2:12:55,20.0,,
Boston,2022,Men,21,Mike Sayenko,United States,2:13:46,21.0,,
Boston,2022,Men,22,Jerrell Mock,United States,2:14:10,22.0,,
Boston,2022,Men,23,Jonas Hampton,United States,2:14:40,23.0,,
Boston,2022,Men,24,Ian Butler,United States,2:14:48,24.0,,
Boston,2022,Men,25,Paul Hogan,United States,2:15:08,25.0,,
Boston,2022,Men,26,Jared Ward,United States,2:15:24,26.0,,
Boston,2022,Men,27,Matthew Llano,United States,2:16:39,27.0,,
Boston,2022,Men,28,Benjamin Schneiderman,United States,2:18:36,28.0,,
Boston,2022,Men,29,Nico Montanez,United States,2:19:23,29.0,,
Boston,2022,Men,30,Tyler Pence,United States,2:19:39,30.0,,
Boston,2022,Women,1,Peres Jepchirchir,Kenya,2:21:01,,,
Boston,2022,Women,2,Ababel Yeshaneh,Ethiopia,2:21:05,,,
Boston,2022,Women,3,Mary Ngugi,Kenya,2:21:32,,,
Boston,2022,Women,4,Edna Kiplagat,Kenya,2:21:40,4.0,,
Boston,2022,Women,5,Monicah Ngige,Kenya,2:22:13,5.0,,
Boston,2022,Women,6,Viola Cheptoo,Kenya,2:23:47,6.0,,
Boston,2022,Women,7,Joyciline Jepkosgei,Kenya,2:24:43,7.0,,
Boston,2022,Women,8,Degitu Azimeraw,Ethiopia,2:25:23,8.0,,
Boston,2022,Women,9,Charlotte Purdue,United Kingdom,2:25:26,9.0,,
Boston,2022,Women,10,Nell Rojas,United States,2:25:57,10.0,,
Boston,2022,Women,11,Malindi Elmore,Canada,2:27:58,11.0,,
Boston,2022,Women,12,Stephanie Rothstein-Bruce,United States,2:28:02,12.0,,
Boston,2022,Women,13,Desiree Linden,United States,2:28:47,13.0,,
Boston,2022,Women,14,Dakotah Lindwurm,United States,2:29:55,14.0,,
Boston,2022,Women,15,Bria Wetsch,United States,2:30:42,15.0,,
Boston,2022,Women,16,Elaina Tabb,United States,2:31:34,16.0,,
Boston,2022,Women,17,Maegan Krifchin,United States,2:31:53,17.0,,
Boston,2022,Women,18,Kathy Derks,United States,2:34:54,18.0,,
Boston,2022,Women,19,Natasha Wodak,Canada,2:35:08,19.0,,
Boston,2022,Women,20,Angie Orjuela,Colombia,2:35:17,20.0,,
Boston,2022,Women,21,Sara Vaughn,United States,2:36:27,21.0,,
Boston,2022,Women,22,Aisling Cuffe,United States,2:37:23,22.0,,
Boston,2022,Women,23,Annmarie Tuxbury,United States,2:38:15,23.0,,
Boston,2022,Women,24,Kate Bazeley,Canada,2:38:26,24.0,,
Boston,2022,Women,25,Kayla Lampe,United States,2:38:38,25.0,,
Boston,2022,Women,26,Kaylee Flanagan,United States,2:39:26,26.0,,
Boston,2022,Women,27,Ashlee Powers,United States,2:39:59,27.0,,
Boston,2022,Women,28,Caitlin Phillips,United States,2:40:09,28.0,,
Boston,2022,Women,29,Kate Sanborn,United States,2:40:16,29.0,,
Boston,2022,Women,30,Katrina Morrissey,United States,2:40:19,30.0,,
Chicago,2022,Men,1,Benson Kipruto,Kenya,2:04:24,,,
Chicago,2022,Men,2,Seifu Tura Abdiwak,Ethiopia,2:04:49,,,
Chicago,2022,Men,3,John Korir,Kenya,2:05:01,,,
Chicago,2022,Men,4,Bernard Koech,Kenya,2:07:15,,,
Chicago,2022,Men,5,Shifera Tamru Aredo,Ethiopia,2:07:53,,,
Chicago,2022,Men,6,Kyohei Hosoya,Japan,2:08:05,,,
Chicago,2022,Men,7,Conner Mantz,United States,2:08:16,,,
Chicago,2022,Men,8,Hamza Sahli,Morocco,2:08:22,,,
Chicago,2022,Men,9,Eric Kiptanui,Kenya,2:08:26,,,
Chicago,2022,Men,10,Dong Guojian,China,2:08:53,,,
Chicago,2022,Women,1,Ruth Chepng'etich,Kenya,2:14:18,,,
Chicago,2022,Women,2,Emily Sisson,United States,2:18:29,,,
Chicago,2022,Women,3,Vivian Jerono Kiplagat,Kenya,2:20:52,,,
Chicago,2022,Women,4,Ruti Aga,Ethiopia,2:21:41,,,
Chicago,2022,Women,5,Waganesh Mekasha Amare,Ethiopia,2:23:41,,,
Chicago,2022,Women,6,Susanna Sullivan,United States,2:25:14,,,
Chicago,2022,Women,7,Sara Vaughn,United States,2:26:23,,,
Chicago,2022,Women,8,Maggie Montoya,United States,2:28:07,,,
Chicago,2022,Women,9,Sarah Inglis,United Kingdom,2:29:37,,,
Chicago,2022,Women,10,Makena Morley,United States,2:30:28,,,
London,2022,Men,1,Amos Kipruto,Kenya,02:04:39,,,
London,2022,Men,2,Leul Gebresilase,Ethiopia,02:05:12,,,
London,2022,Men,3,Bashir Abdi,Belgium,02:05:19,,,
London,2022,Men,4,Kinde Atanaw,Ethiopia,02:05:27,,,
London,2022,Men,5,Kenenisa Bekele,Ethiopia,02:05:53,,,
London,2022,Men,6,Birhanu Legese,Ethiopia,02:06:11,,,
London,2022,Men,7,Sisay Lemma,Ethiopia,02:07:26,,,
London,2022,Men,8,Brett Robinson,Australia,02:09:52,,,
London,2022,Men,9,Weynay Ghebresilasie,United Kingdom,02:11:57,,,
London,2022,Men,10,Philip Sesemann,United Kingdom,02:12:10,,,
London,2022,Women,1,Yalemzerf Yehualaw,Ethiopia,02:17:26,,,
London,2022,Women,2,Joyciline Jepkosgei,Kenya,02:18:07,,,
London,2022,Women,3,Alemu Megertu,Ethiopia,02:18:32,,,
London,2022,Women,4,Judith Jeptum Korir,Kenya,02:18:43,,,
London,2022,Women,5,Joan Chelimo Melly,Romania,02:19:27,,,
London,2022,Women,6,Ashete Bekere,Ethiopia,02:19:30,,,
London,2022,Women,7,Mary Ngugi,Kenya,02:20:22,,,
London,2022,Women,8,Sutume Asefa Kebede,Ethiopia,02:20:44,,,
London,2022,Women,9,Ai Hosoda,Japan,02:21:42,,,
London,2022,Women,10,Rose Harvey,United Kingdom,02:27:59,,,
New,2022,Men,1,Evans Chebet,Kenya,2:08:41,,,
New,2022,Men,2,Shura Kitata,Ethiopia,2:08:54,,,
New,2022,Men,3,Abdi Nageeye,Netherlands,2:10:31,,,
New,2022,Men,4,Mohamed Reda El Aaraby,Morocco,2:11:00,,,
New,2022,Men,5,Suguru Osako,Japan,2:11:31,,,
New,2022,Men,6,Tetsuya Yoroizaka,Japan,2:12:12,,,
New,2022,Men,7,Albert Korir,Kenya,2:13:27,,,
New,2022,Men,8,Daniele Meucci,Italy,2:13:29,,,
New,2022,Men,9,Scott Fauble,United States,2:13:35,,,
New,2022,Men,10,Reed Fischer,United States,2:15:23,,,
New,2022,Women,1,Sharon Lokedi,Kenya,2:23:23,,,
New,2022,Women,2,Lonah Chemtai Salpeter,Israel,2:23:30,,,
New,2022,Women,3,Gotytom Gebreslase,Ethiopia,2:23:39,,,
New,2022,Women,4,Edna Kiplagat,Kenya,2:24:16,,,
New,2022,Women,5,Viola Cheptoo Lagat,Kenya,2:25:34,,,
New,2022,Women,6,Hellen Obiri,Kenya,2:25:49,,,
New,2022,Women,7,Aliphine Tuliamuk,United States,2:26:18,,,
New,2022,Women,8,Emma Bates,United States,2:26:53,,,
New,2022,Women,9,Jessica Stenson,Australia,2:27:27,,,
New,2022,Women,10,Nell Rojas,United States,2:28:32,,,
Tokyo,2022,Men,1,Eliud Kipchoge,Kenya,02:02:40,,,
Tokyo,2022,Men,2,Amos Kipruto,Kenya,02:03:13,,,
Tokyo,2022,Men,3,Tamirat Tola,Ethiopia,02:04:14,,,
Tokyo,2022,Men,4,Kengo Suzuki,Japan,02:05:28,,,
Tokyo,2022,Men,5,Shura Kitata,Ethiopia,02:06:12,,,
Tokyo,2022,Men,6,Laban Korir,Kenya,02:06:37,,,
Tokyo,2022,Men,7,Kenya Sonata,Japan,02:07:23,,,
Tokyo,2022,Men,8,Shun Yuzawa,Japan,02:07:31,,,
Tokyo,2022,Men,9,Kento Kikutani,Japan,02:07:55,,,
Tokyo,2022,Men,10,Michael Githae,Kenya,02:07:55,,,
Tokyo,2022,Women,1,Brigid Kosgei,Kenya,02:16:02,,,
Tokyo,2022,Women,2,Ashete Bekere,Ethiopia,02:17:58,,,
Tokyo,2022,Women,3,Gotytom Gebreslase,Ethiopia,02:18:18,,,
Tokyo,2022,Women,4,Angela Tanui,Kenya,02:18:42,,,
Tokyo,2022,Women,5,Hiwot Gebrekidan,Ethiopia,02:19:10,,,
Tokyo,2022,Women,6,Mao Ichiyama,Japan,02:21:02,,,
Tokyo,2022,Women,7,Hitomi Niiya,Japan,02:21:17,,,
Tokyo,2022,Women,8,Sara Hall,United States,02:22:56,,,
Tokyo,2022,Women,9,Helen Bekele Tola,Ethiopia,02:24:33,,,
Tokyo,2022,Women,10,Kaori Morita,Japan,02:27:38,,,
Berlin,2023,Men,1,Eliud Kipchoge,Kenya,2:02:42,,,
Berlin,2023,Men,2,Vincent Kipkemoi,Kenya,2:03:13,,,
Berlin,2023,Men,3,Tadese Takele,Ethiopia,2:03:24,,,
Berlin,2023,Men,4,Ronald Korir,Kenya,2:04:22,,,
Berlin,2023,Men,5,Haftu Teklu,Ethiopia,2:04:42,,,
Berlin,2023,Men,6,Andualem Belay Shiferaw,Ethiopia,2:04:44,,,
Berlin,2023,Men,7,Amos Kipruto,Kenya,2:04:49,,,
Berlin,2023,Men,8,Philemon Kiplimo,Kenya,2:04:56,,,
Berlin,2023,Men,9,Amanal Petros,Germany,2:04:58,,,
Berlin,2023,Men,10,Bonface Kimutai Kiplimo,Kenya,2:05:05,,,
Berlin,2023,Women,1,Tigst Assefa,Ethiopia,2:11:53,,,
Berlin,2023,Women,2,Sheila Chepkirui,Kenya,2:17:49,,,
Berlin,2023,Women,3,Magdalena Shauri,Tanzania,2:18:41,,,
Berlin,2023,Women,4,Zeineba Yimer,Ethiopia,2:19:07,,,
Berlin,2023,Women,5,Senbere Teferi,Ethiopia,2:19:21,,,
Berlin,2023,Women,6,Dera Dida,Ethiopia,2:19:24,,,
Berlin,2023,Women,7,Workenesh Edesa,Ethiopia,2:19:40,,,
Berlin,2023,Women,8,Helen Bekele,Ethiopia,2:19:44,,,
Berlin,2023,Women,9,Charlotte Purdue,United Kingdom,2:22:17,,,
Berlin,2023,Women,10,Fikrte Wereta,Ethiopia,2:23:01,,,
Boston,2023,Men,1,Evans Chebet,Kenya,2:05:54,,,
Boston,2023,Men,2,Gabriel Geay,Tanzania,2:06:04,,,
Boston,2023,Men,3,Benson Kipruto,Kenya,2:06:06,,,
Boston,2023,Men,4,Albert Korir,Kenya,2:08:01,4.0,,
Boston,2023,Men,5,Zouhair Talbi,Morocco,2:08:35,5.0,,
Boston,2023,Men,6,Eliud Kipchoge,Kenya,2:09:23,6.0,,
Boston,2023,Men,7,Scott Fauble,United States,2:09:44,7.0,,
